Player,Country,Date_of_birth,Hand,Total_wins,Wins_percent,AVG_rank,VAR_rank,Clay_wins,Clay_wins_percent,Grass_wins,Grass_wins_percent,Hard_wins,Hard_wins_percent,Carpet_wins,Carpet_wins_percent,International_nmatches,Grand Slam_nmatches,International Gold_nmatches,Masters_nmatches,ATP250_nmatches,ATP500_nmatches,Masters 1000_nmatches,Masters Cup_nmatches,International Gold_nwins,ATP250_nwins,ATP500_nwins,Grand Slam_nwins,International_nwins,Masters_nwins,Masters 1000_nwins,Masters Cup_nwins
Dosedel S.,CZE,1970-08-14,R,21,36.84210526315789,71.40350877192982,470.56641604010025,8,34.78260869565217,2,50,11,37.93103448275862,0,0,21,16,8,12,NA,NA,NA,NA,1,0,0,8,7,5,0,0
Clement A.,FRA,1977-12-17,R,243,49.19028340080971,57.036437246963565,1173.637614867251,30,37.9746835443038,43,54.43037974683544,141,50,29,53.70370370370371,173,94,46,106,55,9,11,NA,24,22,2,49,97,44,5,0
Escude N.,FRA,1976-04-03,R,107,61.142857142857146,40.78285714285714,398.1594745484401,10,37.03703703703704,18,75,68,68,11,45.83333333333333,67,35,20,53,NA,NA,NA,NA,16,0,0,22,43,26,0,0
Knippschild J.,GER,1975-02-15,R,14,34.146341463414636,123.1219512195122,2037.259756097561,7,31.818181818181817,6,60,1,11.11111111111111,0,NA,28,9,2,2,NA,NA,NA,NA,0,0,0,3,11,0,0,0
Fromberg R.,AUS,1970-04-28,R,19,38.775510204081634,88.0204081632653,2436.1454081632655,5,26.31578947368421,2,50,12,46.15384615384615,0,NA,26,10,7,6,NA,NA,NA,NA,2,0,0,4,10,3,0,0
Arthurs W.,AUS,1971-03-18,L,104,43.88185654008439,93.19409282700423,1189.9452191947364,15,34.883720930232556,26,53.06122448979592,61,43.57142857142857,2,40,123,47,35,32,NA,NA,NA,NA,14,0,0,20,57,13,0,0
Grosjean S.,FRA,1978-05-29,R,262,59.54545454545455,36.720454545454544,11240.857895009318,59,60.824742268041234,42,72.41379310344827,141,56.17529880478087,20,58.82352941176471,152,102,40,134,6,NA,1,5,19,2,0,69,96,73,0,3
Balcells J.,ESP,1975-06-20,R,34,44.73684210526316,97.78947368421052,1592.3017543859648,19,51.35135135135135,0,0,15,42.857142857142854,0,0,54,11,5,6,NA,NA,NA,NA,1,0,0,2,29,2,0,0
Hewitt L.,AUS,1981-02-24,R,494,70.67238912732475,29.141630901287552,2042.8036941844878,77,65.8119658119658,101,77.6923076923077,308,70,8,66.66666666666666,150,194,36,151,92,24,34,18,27,59,13,136,126,106,14,13
Tebbutt M.,AUS,1970-12-22,L,1,33.33333333333333,454.3333333333333,8008.333333333333,0,NA,0,NA,1,33.33333333333333,0,NA,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
Martin A.,ESP,1978-08-20,R,191,43.21266968325792,74.74660633484163,2199.8358728106627,136,50.184501845018445,4,22.22222222222222,50,34.01360544217687,1,16.666666666666664,179,57,52,78,66,9,1,NA,22,28,3,20,84,34,0,0
Draper S.,AUS,1974-06-05,L,17,33.33333333333333,221.7843137254902,36224.532549019605,0,0,4,30.76923076923077,13,39.39393939393939,0,NA,23,16,9,3,NA,NA,NA,NA,6,0,0,3,8,0,0,0
Petrovic D.,SRB,1978-04-03,R,4,30.76923076923077,195.46153846153845,2307.602564102564,2,50,1,25,1,20,0,NA,5,3,NA,NA,5,NA,NA,NA,0,2,0,0,2,0,0,0
Pozzi G.,ITA,1965-06-17,L,31,40.78947368421053,62.88157894736842,421.5991228070175,2,20,10,55.55555555555556,16,39.02439024390244,3,42.857142857142854,39,14,8,15,NA,NA,NA,NA,2,0,0,6,16,7,0,0
Stoltenberg J.,AUS,1970-04-04,R,28,58.333333333333336,80.04166666666667,144.04078014184398,7,77.77777777777779,4,57.14285714285714,17,53.125,0,NA,33,9,5,1,NA,NA,NA,NA,2,0,0,4,22,0,0,0
Goldstein P.,USA,1976-08-04,R,69,43.125,96.05625,1141.7892688679244,11,42.30769230769231,8,47.05882352941176,48,42.857142857142854,2,40,100,21,24,15,NA,NA,NA,NA,9,0,0,7,48,5,0,0
Enqvist T.,SWE,1974-03-13,R,135,55.10204081632652,40.63673469387755,1645.8060220809634,22,47.82608695652174,11,50,90,57.692307692307686,12,57.14285714285714,92,50,29,74,NA,NA,NA,NA,17,0,0,28,51,39,0,0
Lisnard J.,NA,NA,NA,8,29.629629629629626,152.8148148148148,1535.002849002849,6,37.5,0,NA,2,18.181818181818183,0,NA,15,6,4,2,NA,NA,NA,NA,2,0,0,1,4,1,0,0
Sekulov J.,AUS,1976-10-13,R,3,25,159.16666666666666,1395.4242424242425,0,0,0,0,3,30,0,NA,6,2,3,1,NA,NA,NA,NA,1,0,0,1,1,0,0,0
Norman M.,SWE,1976-05-30,R,103,58.857142857142854,44.44,4355.098390804597,39,56.52173913043478,0,0,64,61.53846153846154,0,0,77,27,25,43,NA,NA,NA,3,14,0,0,17,50,22,0,0
Vinck C.,GER,1975-09-03,L,10,27.77777777777778,140.47222222222223,1503.8563492063493,2,20,4,50,4,25,0,0,19,7,8,2,NA,NA,NA,NA,1,0,0,3,6,0,0,0
Henman T.,GBR,1974-09-06,R,273,65.311004784689,19.34688995215311,365.3014411437357,45,58.44155844155844,42,70,160,65.57377049180327,26,70.27027027027027,103,92,70,150,NA,NA,NA,3,48,0,0,62,74,88,0,1
Kumar S.,IND,1963-07-26,L,0,0,1198,NA,0,NA,0,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Behrend T.,GER,1974-12-12,R,39,36.11111111111111,114.20370370370371,618.4627898926965,25,39.0625,0,0,11,31.428571428571427,3,60,76,16,15,1,NA,NA,NA,NA,7,0,0,2,30,0,0,0
